,Unnamed: 0,isbn,book_title,book_author,year_of_publication,publisher,img_m,Summary,Language,Category
30566,30566,038070174X,The Ambassador's Women,Catherine Gaskin,1990.0,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/038070174X.01.MZZZZZZZ.jpg,"In the fall of 1930, two young mothers-to-be meet by chance on a
London bridge, and for both--the one a wealthy American, the other a
titled Englishwoman--it is the beginning of a lifelong friendship",en,Fiction
30567,30567,0380730448,"The Adrian Mole Diaries : The Secret Diary of Adrian Mole, Aged 13 3/4 : The Growing Pains of Adrian Mole",Sue Townsend,1997.0,Perennial,http://images.amazon.com/images/P/0380730448.01.MZZZZZZZ.jpg,"Shares the observations of Adrian Mole, a thirteen-year-old budding
intellectual beset with worries about his complexion, his untried
sexuality, and his parents&#39;s unsteady marriage",en,Fiction
30586,30586,0380789019,Neverwhere,Neil Gaiman,1998.0,Avon,http://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg,"He has fallen through the cracks of reality and has landed somewhere
different, somewhere that is Neverwhere.",en,Fiction
30823,30823,0380789035,American Gods,Neil Gaiman,2002.0,HarperTorch,http://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg,Shadow is a man with a past.,en,Fiction
31125,31125,0380810492,He Could Be the One (Avon Light Contemporary Romances),Elizabeth Bevarly,2001.0,Avon,http://images.amazon.com/images/P/0380810492.01.MZZZZZZZ.jpg,"Beautiful Eve Van Dormer is disgusted when her millionaire father
forces her old flame, Wyatt Culver, to serve as a bodyguard to protect
her from her ex-husband while they attend their high-school reunion.
Original.",en,Fiction
31140,31140,0380817845,Man at Work (Avon Light Contemporary Romances),Elaine Fox,2002.0,Avon,http://images.amazon.com/images/P/0380817845.01.MZZZZZZZ.jpg,9,9,9
31158,31158,0380973634,Neverwhere,Neil Gaiman,1997.0,William Morrow,http://images.amazon.com/images/P/0380973634.01.MZZZZZZZ.jpg,9,9,9
31171,31171,0380973650,American Gods: A Novel,Neil Gaiman,2001.0,William Morrow,http://images.amazon.com/images/P/0380973650.01.MZZZZZZZ.jpg,"Magnificently told, this work of literary magic will haunt the reader
far beyond the final page.",en,Fiction
31236,31236,0380973839,Martian Chronicles,Ray Bradbury,1997.0,William Morrow,http://images.amazon.com/images/P/0380973839.01.MZZZZZZZ.jpg,"In a much celebrated literary career that has spanned six decades, he
has produced an astonishing body of work: unforgettable novels,
including Fahrenheit 451 and Something Wicked This Way Comes; essays,
theatrical works, screenplays and ...",en,Fiction
31238,31238,0380977281,Stardust,Neil Gaiman,1999.0,William Morrow,http://images.amazon.com/images/P/0380977281.01.MZZZZZZZ.jpg,"Living in a Victorian countryside town overshadowed by a imposing
stone barrier, Tristran is compelled to retrieve a fallen star for the
woman he loves and crosses to the wondrous other side of the barrier,
where he encounters dangerous ...",en,Fiction
31249,31249,0380977788,Coraline,Neil Gaiman,2002.0,HarperCollins,http://images.amazon.com/images/P/0380977788.01.MZZZZZZZ.jpg,"The day after they moved in, Coraline went exploring.... In
Coraline&#39;s family&#39;s new flat are twenty-one windows and
fourteen doors. Thirteen of the doors open and close.",en,Juvenile Fiction
31364,31364,038097827X,The Wolves in the Walls,Neil Gaiman,2003.0,HarperCollins,http://images.amazon.com/images/P/038097827X.01.MZZZZZZZ.jpg,"Lucy is sure there are wolves living in her walls--and everyone says
if the wolves make their way out it is all over for her and her
family. A wonderfully strange adventure from the &quot;New York
Times&quot; bestseller of &quot;Coraline.&quot; Illustrations.",en,Fiction
31369,31369,0385134681,Family Affairs,Catherine Gaskin,1980.0,Bantam Dell Pub Group,http://images.amazon.com/images/P/0385134681.01.MZZZZZZZ.jpg,"Kelly Anderson, the daughter of the cook at Pentland, a large estate
in northwest New South Wales, realizes her dream when she marries a
son of the estate owners",en,Families
31370,31370,0385327773,The Great God Pan,Donna Jo Napoli,2003.0,Wendy Lamb Books,http://images.amazon.com/images/P/0385327773.01.MZZZZZZZ.jpg,"The author of The Magic Circle offers a romantic and mythological tale
about the good-spirited goat and god Pan and his intense love for a
human, Princess Iphigenia.",en,Juvenile Fiction
31371,31371,038533348X,Cat's Cradle,Kurt Vonnegut,1998.0,Delta,http://images.amazon.com/images/P/038533348X.01.MZZZZZZZ.jpg,"A young writer decides to interview the children of a scientist
primarily responsible for the creation of the atomic bomb",en,Fiction
31415,31415,038542017X,"Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies",LAURA ESQUIVEL,1995.0,Anchor,http://images.amazon.com/images/P/038542017X.01.MZZZZZZZ.jpg,9,9,9
31536,31536,0394586239,Possession: A Romance,A. S. Byatt,1990.0,Random House Inc,http://images.amazon.com/images/P/0394586239.01.MZZZZZZZ.jpg,9,9,9
31541,31541,0399146431,The Bonesetter's Daughter,Amy Tan,2001.0,Putnam Publishing Group,http://images.amazon.com/images/P/0399146431.01.MZZZZZZZ.jpg,"Struggling to regain her voice and express her true feelings to her
husband, ghostwriter Ruth Young discovers that her inability to speak
closely parallels the story of her mother LuLing&#39;s early life in
China, where Ruth finds the famous ...",en,Fiction
31658,31658,0399501487,Lord of the Flies,William Gerald Golding,1959.0,Perigee Trade,http://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg,"The classic tale of a group of English school boys who are left
stranded on an unpopulated island, and who must confront not only the
defects of their society but the defects of their own nature.",en,Fiction
31893,31893,0413537900,The Secret Diary of Adrian Mole Aged 13 3/4,Sue Townsend,1982.0,Methuen Publishing Ltd,http://images.amazon.com/images/P/0413537900.01.MZZZZZZZ.jpg,"Play version of this novel that was a hit with adults and teenagers
alike.",en,Adolescence
31959,31959,0425145638,Fatal Cure,Robin Cook,1997.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425145638.01.MZZZZZZZ.jpg,9,9,9
32054,32054,0425177009,Lavender Lies: A China Bayles Mystery (Prime Crime Mysteries),Susan Wittig Albert,2000.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425177009.01.MZZZZZZZ.jpg,"As former lawyer-turned-herbalist China Bayles prepares her wedding,
the festivities are interrupted by a most uncooperative corpse.",en,Fiction
32080,32080,0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999.0,Scholastic,http://images.amazon.com/images/P/0439064864.01.MZZZZZZZ.jpg,"In Harry Potter and the Chamber of Secrets, the summer after Harrys
first year at Hogwarts has been his worst summer ever the Dursleys
more distant and horrible than ever before.",en,Juvenile Fiction
32250,32250,0439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000.0,Scholastic,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg,9,9,9
32601,32601,0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999.0,Scholastic,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg,"During his third year at Hogwarts School for witchcraft and wizardry,
Harry Potter must confront the devious and dangerous wizard
responsable for his parents death.",en,Juvenile Fiction
32798,32798,0439136369,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2001.0,Scholastic,http://images.amazon.com/images/P/0439136369.01.MZZZZZZZ.jpg,9,9,9
33024,33024,0439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000.0,Scholastic,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg,"The fourth title in the continuing saga includes Harry&#39;s latest
adventure at Hogwarts School of Witchcraft and Wizardry.",en,Juvenile Fiction
33218,33218,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003.0,Scholastic,http://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg,"Collects the complete series that relates the adventures of young
Harry Potter, who attends Hogwarts School of Witchcraft and Wizardry,
where he and others of his kind learn their craft.",en,Juvenile Fiction
33552,33552,0439510112,Born Confused,Tanuja Desai Hidier,2003.0,Push,http://images.amazon.com/images/P/0439510112.01.MZZZZZZZ.jpg,"Seventeen-year-old Dimple, whose family is from India, discovers that
she is not Indian enough for the Indians and not American enough for
the Americans, as she sees her hypnotically beautiful, manipulative
best friend taking possession of ...",en,Juvenile Fiction
33568,33568,044018293X,Suffer the Children,John Saul,1986.0,Dell,http://images.amazon.com/images/P/044018293X.01.MZZZZZZZ.jpg,9,9,9
33588,33588,0440211263,Circle of Friends,Maeve Binchy,1991.0,Dell,http://images.amazon.com/images/P/0440211263.01.MZZZZZZZ.jpg,"Two friends who grew up together in a small Irish village attend
college in Dublin, where their lives become intertwined with the
beautiful Nan Mahon and Jack Foley, the handsome son of a doctor",en,Fiction
33817,33817,0440241413,Confessions of a Shopaholic,SOPHIE KINSELLA,2003.0,Dell,http://images.amazon.com/images/P/0440241413.01.MZZZZZZZ.jpg,"Financial journalist Rebecca Bloomwood seeks solace from the boredom
and pressures in life with her shopping, a solution that brings her
close to financial disaster, until she encounters a story that will
change her life.",en,Fiction
33899,33899,0440403278,Number the Stars (Yearling Newbery),Lois Lowry,1990.0,Yearling Books,http://images.amazon.com/images/P/0440403278.01.MZZZZZZZ.jpg,9,9,9
33955,33955,0440419468,Holes,LOUIS SACHAR,2003.0,Yearling,http://images.amazon.com/images/P/0440419468.01.MZZZZZZZ.jpg,"As further evidence of his family&#39;s bad fortune which they
attribute to a curse on a distant relative, Stanley Yelnats is sent to
a hellish correctional camp in the Texas desert where he finds his
first real friend, a treasure, and a new ...",en,Juvenile Fiction
34004,34004,0440967694,The Outsiders,S. E. Hinton,1993.0,Learning Curve,http://images.amazon.com/images/P/0440967694.01.MZZZZZZZ.jpg,"A revealing account of the tensions, fears, and frustrations of gang
life written by a seventeen-year-old.",en,Juvenile Fiction
34078,34078,0441003257,Good Omens,Neil Gaiman,1996.0,Ace Books,http://images.amazon.com/images/P/0441003257.01.MZZZZZZZ.jpg,"When the armies of Heaven and Hell decide it&#39;s time for
Armageddon, a demon and an angel decide they like life on earth and
team up to stop the coming apocalypse",en,Fiction
34246,34246,0441008615,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Neil Gaiman,2001.0,Ace Books,http://images.amazon.com/images/P/0441008615.01.MZZZZZZZ.jpg,9,9,9
34269,34269,0441172695,"Dune Messiah (Dune Chronicles, Book 2)",Frank Herbert,1994.0,ACE Charter,http://images.amazon.com/images/P/0441172695.01.MZZZZZZZ.jpg,"The sisterhood of the Bene Gesserit plots to seize control of the
galaxy-wide empire of their supernatural leader.",en,Dune (Imaginary place)
34331,34331,0441569595,Neuromancer (Remembering Tomorrow),William Gibson,1995.0,Ace Books,http://images.amazon.com/images/P/0441569595.01.MZZZZZZZ.jpg,9,9,9
34510,34510,0446329142,Bloodline,Sidney Sheldon,1982.0,Not Avail,http://images.amazon.com/images/P/0446329142.01.MZZZZZZZ.jpg,9,9,9
34513,34513,0446341932,Stranger In the Mirror,Sidney Sheldon,1982.0,Warner Books> C/o Little Br,http://images.amazon.com/images/P/0446341932.01.MZZZZZZZ.jpg,9,9,9
34522,34522,0446350109,Windmills of the Gods,Sidney Sheldon,1987.0,Warner Books,http://images.amazon.com/images/P/0446350109.01.MZZZZZZZ.jpg,"She&#39;s on the glinting edge of East-West confrontation, a beautiful
and accomplished scholar who has suddenly become our newest ambassador
to an Iron Curtain country, a woman who is about to dramatically
change the course of world events -- ...",en,Fiction
34593,34593,0446354678,Memories of Midnight,Sidney Sheldon,1991.0,Warner Books,http://images.amazon.com/images/P/0446354678.01.MZZZZZZZ.jpg,"In THE OTHER SIDE OF MIDNIGHT, they played the ultimate game of love,
lust, and death. Now, in MEMORIES OF MIDNIGHT, the survivors meet to
play one last time.",en,Fiction
34649,34649,0446356832,The Sands of Time,Sidney Sheldon,1989.0,Warner Books,http://images.amazon.com/images/P/0446356832.01.MZZZZZZZ.jpg,9,9,9
34733,34733,0446363499,A Coral Kiss,Jayne Ann Krentz,1992.0,Warner Books,http://images.amazon.com/images/P/0446363499.01.MZZZZZZZ.jpg,"With twenty-two New York Times bestsellers and millions of readers,
Jayne Ann Krentz is one of the most popular romance superstars of our
time.",en,Fiction
34748,34748,0446364762,The Stars Shine Down,Sidney Sheldon,1993.0,Warner Books,http://images.amazon.com/images/P/0446364762.01.MZZZZZZZ.jpg,"In THE STARS SHINE DOWN, Sidney Sheldon returns to the powerful and
classic themes that have made him one of the world&#39;s most popular
bestselling authors.",en,Fiction
34805,34805,0446527785,A Bend in the Road,Nicholas Sparks,2001.0,Warner Books,http://images.amazon.com/images/P/0446527785.01.MZZZZZZZ.jpg,9,9,9
34896,34896,0446529540,Futureland: Nine Stories of an Imminent World,Walter Mosley,2001.0,Aspect,http://images.amazon.com/images/P/0446529540.01.MZZZZZZZ.jpg,9,9,9
34904,34904,0446605239,The Notebook,Nicholas Sparks,1998.0,Warner Books,http://images.amazon.com/images/P/0446605239.01.MZZZZZZZ.jpg,9,9,9
35369,35369,0448060043,Alice in Wonderland and Through the Looking Glass (Illustrated Junior Library),Charles Lutwidge Dodgson,1946.0,Grosset & Dunlap,http://images.amazon.com/images/P/0448060043.01.MZZZZZZZ.jpg,"After following the White Rabbit through a rabbit hole, Alice tumbles
into a strange land of magic and make-believe",en,Juvenile Fiction
35384,35384,0449005550,Candles on Bay Street,K.C. McKinnon,2000.0,Ballantine Books,http://images.amazon.com/images/P/0449005550.01.MZZZZZZZ.jpg,9,9,9
35388,35388,0449226182,Amethyst Dreams,Phyllis A. Whitney,1998.0,Ivy Books,http://images.amazon.com/images/P/0449226182.01.MZZZZZZZ.jpg,9,9,9
35413,35413,0449242765,Star Gate,Andre Norton,1980.0,Ballantine Books,http://images.amazon.com/images/P/0449242765.01.MZZZZZZZ.jpg,9,9,9
35418,35418,0451088816,Fool's Die,Mario Puzo,1979.0,Signet Book,http://images.amazon.com/images/P/0451088816.01.MZZZZZZZ.jpg,9,9,9
35428,35428,0451137965,Thinner,Stephen King,1985.0,New Amer Library,http://images.amazon.com/images/P/0451137965.01.MZZZZZZZ.jpg,"For use in schools and libraries only. After an old gypsy woman is
killed by his car, lawyer Billy Halleck is stricken with a flesh-
wasting malady and must undertake a nightmarish journey to confront
the forces of death.",en,Fiction
35520,35520,0451150244,Pet Sematary,Stephen King,1984.0,Signet Book,http://images.amazon.com/images/P/0451150244.01.MZZZZZZZ.jpg,&quot;&quot;Sometimes dead is better.,en,Animals
35531,35531,0451167317,The Dark Half,Stephen King,1994.0,Signet Book,http://images.amazon.com/images/P/0451167317.01.MZZZZZZZ.jpg,"Thad Beaumont comes under suspicion when clues concerning a murder
lead to George Stark, the fictional alter ego under whose name
Beaumont used to write. Reissue.",en,Fiction
35684,35684,0451167716,The Godfather,Mario Puzo,2004.0,Signet Book,http://images.amazon.com/images/P/0451167716.01.MZZZZZZZ.jpg,9,9,9
35738,35738,0451201914,Winter Raven,Cassie Edwards,2000.0,Signet Book,http://images.amazon.com/images/P/0451201914.01.MZZZZZZZ.jpg,9,9,9
35747,35747,0451406176,The Duke,Catherine Coulter,1995.0,Topaz,http://images.amazon.com/images/P/0451406176.01.MZZZZZZZ.jpg,"Originally published as &quot;The Generous Earl, &quot; Coulter
rewrote her book in 1995 as a historical romance with a touch of
mystery added.",en,Great Britain
35771,35771,0451408845,Moonspun Magic,Catherine Coulter,1999.0,Topaz,http://images.amazon.com/images/P/0451408845.01.MZZZZZZZ.jpg,9,9,9
35795,35795,0451409256,Making Minty Malone,Isabel Wolff,2000.0,Onyx Books,http://images.amazon.com/images/P/0451409256.01.MZZZZZZZ.jpg,9,9,9
35838,35838,0451522389,The Time Machine and the Invisible Man,H. G. Wells,1984.0,Signet Classics,http://images.amazon.com/images/P/0451522389.01.MZZZZZZZ.jpg,"A time traveler discovers the fate of the earth and a scientist learns
how to make himself invisible, but becomes criminally insane",en,Fiction
35847,35847,0451523415,Little Women (Signet Classic),Louisa May Alcott,1988.0,Signet Classics,http://images.amazon.com/images/P/0451523415.01.MZZZZZZZ.jpg,"Jo, Beth, Meg, Amy and their mother endure the hardships of poverty
while the girls&#39; father is away fighting in the Civil War",en,Juvenile Fiction
35871,35871,0451524934,1984,George Orwell,1990.0,Signet Book,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg,"Winston Smith is a worker at the Ministry of Truth, where he falsifies
records for the party. Secretly subversive, he and his colleague Julia
try to free themselves from political slavery but the price of freedom
is betrayal.",en,London (England)
36063,36063,0451526279,Emma (Signet Classics (Paperback)),Jane Austen,1996.0,Signet Classics,http://images.amazon.com/images/P/0451526279.01.MZZZZZZZ.jpg,"A timeless coming-of-age story follows the adventures of the self-
assured and accomplished Emma, a twenty-one-year-old girl of privilege
who believes she is immune to romance and has several chaotic and
often humorous experiences. Reissue.",en,Fiction
36093,36093,0451526341,Animal Farm,George Orwell,2004.0,Signet,http://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg,"A satire on totalitarianism in which farm animals overthrow their
human owner and set up their own government",en,Fiction
36257,36257,0451628276,Great Dialogues of Plato,W.H.D. Rouse,1990.0,Signet Book,http://images.amazon.com/images/P/0451628276.01.MZZZZZZZ.jpg,9,9,9
36263,36263,0452277337,Le Divorce (William Abrahams Book),Diane Johnson,1997.0,Plume Books,http://images.amazon.com/images/P/0452277337.01.MZZZZZZZ.jpg,"When Roxanne Walker de Persand&#39;s husband leaves her pregnant and
alone, she turns for help to her sister, Isabel, but the de Persand
family subtly governs her choice for divorce, especially since she has
a painting worth millions in her ...",en,Fiction
36325,36325,0486415864,Great Expectations (Dover Thrift Editions),Charles Dickens,2001.0,Dover Publications,http://images.amazon.com/images/P/0486415864.01.MZZZZZZZ.jpg,"In this unflaggingly suspenseful story of aspirations and moral
redemption, humble, orphaned Pip, a ward of his short-tempered older
sister and her husband, Joe, is apprenticed to the dirty work of the
forge but dares to dream of becoming a ...",en,Fiction
36331,36331,0515090379,Separate Beds,Lavyrle Spencer,1995.0,Jove Books,http://images.amazon.com/images/P/0515090379.01.MZZZZZZZ.jpg,9,9,9
36371,36371,0515095524,The Burden,Mary Westmacott,1988.0,Jove Books,http://images.amazon.com/images/P/0515095524.01.MZZZZZZZ.jpg,"The private worlds of two very different sisters collide as they
stumble upon a discovery",en,Fiction
36373,36373,051510521X,Bitter Sweet,LaVyrle Spencer,1995.0,Jove Books,http://images.amazon.com/images/P/051510521X.01.MZZZZZZZ.jpg,"Shattered by the loss of her husband, Maggie moves back to her small
Wisconsin hometown, where she encounters her high school sweetheart,
who is stuck in a passionless marriage and who yearns to rekindle old
flames. Reissue.",en,Fiction
36427,36427,051512317X,Rising Tides,Nora Roberts,2001.0,Jove Books,http://images.amazon.com/images/P/051512317X.01.MZZZZZZZ.jpg,9,9,9
36531,36531,0515130923,Dawn in Eclipse Bay,Jayne Ann Krentz,2001.0,Jove Books,http://images.amazon.com/images/P/0515130923.01.MZZZZZZZ.jpg,"Just months after the wedding of their siblings, successful CEO Gabe
Madison and Lillian Harte, owner of a computer matchmaking service,
find themselves at odds as a business contract leads to an all-too-
personal encounter between them.",en,Fiction
36576,36576,051513287X,Face the Fire (Three Sisters Island Trilogy),Nora Roberts,2002.0,Jove Books,http://images.amazon.com/images/P/051513287X.01.MZZZZZZZ.jpg,"The final book in the New England-set trilogy that began with Dance
Upon the Air and Heaven and Earth.",en,Fiction
36813,36813,051788139X,The Harmony Illustrated Encyclopedia of Country Music,Alan Cackett,1994.0,Random House Inc,http://images.amazon.com/images/P/051788139X.01.MZZZZZZZ.jpg,"Profiles such stars as Hank Williams and Patsy Cline, as well as the
new country acts",en,Music
36815,36815,0553250426,The Clan of the Cave Bear (Earth's Children (Paperback)),Jean M. Auel,1984.0,Bantam Books,http://images.amazon.com/images/P/0553250426.01.MZZZZZZZ.jpg,9,9,9
37031,37031,0553250531,The Valley of Horses,JEAN M. AUEL,1984.0,Bantam,http://images.amazon.com/images/P/0553250531.01.MZZZZZZZ.jpg,"After being cast out of the Clan that had adopted her as a child by
the new leader, Ayla shares a lonely valley with a herd of steppe
ponies, harnesses their power, and discovers speech and love with
Jondalar, a member of her own race.",en,Fiction
37161,37161,0553263633,Martian Chronicles,Ray Bradbury,1984.0,Bantam Books,http://images.amazon.com/images/P/0553263633.01.MZZZZZZZ.jpg,"For use in schools and libraries only. The tranquility of Mars is
disrupted by the earthmen who have come to conquer space, colonize the
planet, and escape a doomed Earth.",en,Mars (Planet)
37167,37167,0553265741,Sacred Sins,Nora Roberts,1990.0,Bantam Books,http://images.amazon.com/images/P/0553265741.01.MZZZZZZZ.jpg,"A weary concert violinist, unable to endure one more grueling tour,
looks forward to relaxing in Innocence, Mississippi, at her
grandmother&#39;s secluded old bayou home.",en,Fiction
37265,37265,0553273604,Of Love and Shadows,Isabel Allende,1988.0,Bantam Books,http://images.amazon.com/images/P/0553273604.01.MZZZZZZZ.jpg,"Irene Beltran, a reporter for a women&#39;s magazine in a Latin
American country, and Francisco Leal, a photographer and a clandestine
worker in the resistance, uncover a hideous crime that challenges the
official terrorism of their country&#39;s ...",en,Fiction
37302,37302,0553280325,Something Wicked This Way Comes,Ray Bradbury,1983.0,Bantam,http://images.amazon.com/images/P/0553280325.01.MZZZZZZZ.jpg,9,9,9
37323,37323,0553280589,Eva Luna,Isabel Allende,1989.0,Bantam Books,http://images.amazon.com/images/P/0553280589.01.MZZZZZZZ.jpg,"A servant woman relates the tale of her life and of the landowners,
emigres, urchins, guerrilla leaders, entertainers, eccentrics, and
refugees who instruct and transform her",en,Fiction
37391,37391,0553293761,Dazzle,Judith Krantz,1992.0,Bantam Books,http://images.amazon.com/images/P/0553293761.01.MZZZZZZZ.jpg,"With developers clamoring for the valuable Kilkullen Ranch, successful
photographer Jazz Kilkullen must fight to retain control of her
family&#39;s land. By the author of Princess Daisy and Scruples.
Reprint. AB.",en,Fiction
37434,37434,0553350072,Witness for the Prosecution,Agatha Christie,1987.0,Bantam Doubleday Dell,http://images.amazon.com/images/P/0553350072.01.MZZZZZZZ.jpg,Leonard Vole is charged with murder.,en,Popular literature
37436,37436,0553371010,The Complete Fairy Tales of the Brothers Grimm,Jack Zipes,1992.0,Bantam,http://images.amazon.com/images/P/0553371010.01.MZZZZZZZ.jpg,"These wonderful tales of life, passion, and make-believe appeal not
only to children-who unabashedly love them-but to readers of any age.",en,Fairy tales
37443,37443,0553560468,Wilderness Tips,Margaret Atwood,1993.0,Bantam Books,http://images.amazon.com/images/P/0553560468.01.MZZZZZZZ.jpg,9,9,9
37475,37475,0553571591,Mystique,Amanda Quick,1996.0,Bantam Books,http://images.amazon.com/images/P/0553571591.01.MZZZZZZZ.jpg,"In search of a mysterious green crystal that holds the key to his
legacy, Sir Hugh, a fierce medieval warrior, descends on Lingwood
Manor and comes face-to-face with the independent, strong-willed Lady
Alice",en,Fiction
37496,37496,0571197639,Poisonwood Bible Edition Uk,Barbara Kingsolver,1994.0,Faber Faber Inc,http://images.amazon.com/images/P/0571197639.01.MZZZZZZZ.jpg,"The Poisonwood Bible is a story told by the wife and four daughters of
Nathan Price, a fierce, evangelical Baptist who takes his family and
mission to the Belgian Congo in 1959.",en,Americans
37522,37522,0575061596,About a boy,Nick Hornby,1998.0,V. Gollancz,http://images.amazon.com/images/P/0575061596.01.MZZZZZZZ.jpg,9,9,9
37538,37538,0590353403,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998.0,Scholastic,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg,"Rescued from the outrageous neglect of his aunt and uncle, a young boy
with a great destiny proves his worth while attending Hogwarts School
of Witchcraft and Wizardry.",en,Juvenile Fiction
37706,37706,0590402129,Sounder,William H. Armstrong,1994.0,Scholastic Inc,http://images.amazon.com/images/P/0590402129.01.MZZZZZZZ.jpg,9,9,9
37711,37711,059043893X,Dogsong,Gary Paulsen,1994.0,Scholastic Inc,http://images.amazon.com/images/P/059043893X.01.MZZZZZZZ.jpg,"It is the story of an Eskimo boy &amp; his team of dogs &amp; how they
survive a rigorous journey across the north country.",en,"""Children's stories"""
37721,37721,0590440675,Upstairs Room,Johanna Reiss,1994.0,Scholastic Inc,http://images.amazon.com/images/P/0590440675.01.MZZZZZZZ.jpg,"A Dutch Jewish girl describes the two-and-one-half years she spent in
hiding in the upstairs bedroom of a farmer&#39;s house during World
War II.",en,Jews
37736,37736,0613028155,The Neverending Story,Michael Ende,1999.0,Sagebrush Bound,http://images.amazon.com/images/P/0613028155.01.MZZZZZZZ.jpg,9,9,9
37737,37737,0618002219,The Hobbit: or There and Back Again,J.R.R. Tolkien,1999.0,Houghton Mifflin Company,http://images.amazon.com/images/P/0618002219.01.MZZZZZZZ.jpg,"Chronicles the adventures of the inhabitants of Middle-earth and Bilbo
Baggins, the hobbit who brought home to The Shire the One Ring of
Power A great modern classic and the prelude to The Lord of the Rings
J.R.R. Tolkien&#39;s own description ...",en,Juvenile Fiction
37807,37807,0618002227,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J. R. R. Tolkien,1999.0,Houghton Mifflin Company,http://images.amazon.com/images/P/0618002227.01.MZZZZZZZ.jpg,"In a sleepy village in the Shire, young Frodo Baggins finds himself
with an immense task, as his elderly cousin Bilbo entrusts the Ring to
his care.",en,Fiction
37870,37870,0618002235,"The Two Towers (The Lord of the Rings, Part 2)",J. R. R. Tolkien,1999.0,Houghton Mifflin Company,http://images.amazon.com/images/P/0618002235.01.MZZZZZZZ.jpg,9,9,9
37909,37909,0618002243,"The Return of the King (The Lord of The Rings, Part 3)",J. R. R. Tolkien,1999.0,Houghton Mifflin Company,http://images.amazon.com/images/P/0618002243.01.MZZZZZZZ.jpg,"In a sleepy village in the Shire, young Frodo Baggins finds himself
with an immense task, as his elderly cousin Bilbo entrusts the Ring to
his care.",en,"Fantasy fiction, English"
37937,37937,0670035262,The Green Man : Tales from the Mythic Forest,Ellen Datlow,2002.0,Viking Juvenile,http://images.amazon.com/images/P/0670035262.01.MZZZZZZZ.jpg,"A collection of stories and poems by a variety of authors relating to
the Green Man and other myths of the forest.",en,Juvenile Fiction
37943,37943,0671015311,TO SHIELD THE QUEEN (Mystery at Queen Elizabeth I's Court (Paperback)),Fiona Buckley,1998.0,Pocket,http://images.amazon.com/images/P/0671015311.01.MZZZZZZZ.jpg,"Ursula Blanchard, a widowed young mother and a lady-in-waiting to
Queen Elizabeth I, finds herself at the center of a plot that could
disgrace and threaten the life of Her Majesty. Reprint.",en,Fiction
37956,37956,0671021001,She's Come Undone (Oprah's Book Club),Wally Lamb,1998.0,Pocket,http://images.amazon.com/images/P/0671021001.01.MZZZZZZZ.jpg,9,9,9
38424,38424,0671040480,This Calder Range Volume 1,Janet Dailey,1999.0,Pocket,http://images.amazon.com/images/P/0671040480.01.MZZZZZZZ.jpg,9,9,9
38429,38429,0671465376,MURDER W MIRRORS,Christie,1982.0,Pocket,http://images.amazon.com/images/P/0671465376.01.MZZZZZZZ.jpg,9,9,9
38432,38432,0671525743,Night Whispers,Judith McNaught,1999.0,Pocket,http://images.amazon.com/images/P/0671525743.01.MZZZZZZZ.jpg,"Dedicated policewoman Sloan Reynolds is thrust into a world of
privilege inhabited by her estranged socialite father, whom she wants
to trust despite a sinister plot that points to him and to Noah
Maitland, the man she loves against her ...",en,Fiction
38530,38530,0671527215,Hitchhikers's Guide to the Galaxy,Douglas Adams,1984.0,Pocket,http://images.amazon.com/images/P/0671527215.01.MZZZZZZZ.jpg,9,9,9
38599,38599,067164405X,Blood and Water and Other Tales,Patrick McGrath,1988.0,Poseidon Press,http://images.amazon.com/images/P/067164405X.01.MZZZZZZZ.jpg,9,9,9
38604,38604,0671676245,SILVER LININGS : SILVER LININGS,Jayne Ann Krentz,1991.0,Pocket,http://images.amazon.com/images/P/0671676245.01.MZZZZZZZ.jpg,9,9,9
38606,38606,0671786113,Fair Haven,JoAnn Ross,2000.0,Pocket,http://images.amazon.com/images/P/0671786113.01.MZZZZZZZ.jpg,9,9,9
